"","tag_code","node","slot","event_type_name","n_dets","min_det","max_det","duration","travel_time"
"638","3DD.00776276EF",2,2,"Observation",2,"2022-01-23 02:36:01","2022-01-23 02:59:20",23.3166666666667,0.133333333333333
"639","3DD.00776276EF",1,3,"Observation",1,"2022-01-23 03:00:57","2022-01-23 03:00:57",0,1.61666666666667
"640","3DD.007779DB13",18,1,"Observation",2,"2022-03-19 19:10:10","2022-03-19 19:16:28",6.3,NA
"641","3DD.0077AF9709",1,1,"Observation",1,"2022-02-22 18:21:33","2022-02-22 18:21:33",0,NA
"642","3DD.0077AF9709",2,2,"Observation",1,"2022-02-22 18:22:00","2022-02-22 18:22:00",0,0.45
"643","3DD.0077AFDA04",5,1,"Observation",7,"2022-02-26 05:44:37","2022-02-26 06:20:09",35.5333333333333,NA
"644","3DD.0077AFDA04",6,2,"Observation",2,"2022-02-26 07:00:13","2022-02-26 07:01:37",1.4,40.0666666666667
"645","3DD.0077AFDA04",5,3,"Observation",1,"2022-02-26 07:08:19","2022-02-26 07:08:19",0,6.7
"646","3DD.0077AFDFD4",2,1,"Observation",2,"2022-01-14 15:57:26","2022-01-14 15:58:48",1.36666666666667,NA
"647","3DD.0077AFDFD4",1,2,"Observation",2,"2022-01-14 16:00:51","2022-01-14 16:09:15",8.4,2.05
"648","3DD.0077AFDFD4",2,3,"Observation",3,"2022-01-14 16:11:35","2022-01-14 17:08:22",56.7833333333333,2.33333333333333
"649","3DD.0077AFDFD4",1,4,"Observation",2,"2022-01-14 17:13:22","2022-01-14 22:33:31",320.15,5
"650","3DD.0077AFDFD4",2,5,"Observation",2,"2022-01-14 22:35:13","2022-01-14 23:43:08",67.9166666666667,1.7
"651","3DD.0077AFDFD4",1,6,"Observation",1,"2022-01-14 23:46:24","2022-01-14 23:46:24",0,3.26666666666667
"652","3DD.0077AFE258",1,1,"Observation",83,"2022-01-01 20:39:54","2022-04-20 20:32:13",156892.316666667,NA
"653","3DD.0077AFF04B",1,1,"Observation",1,"2022-04-18 22:25:17","2022-04-18 22:25:17",0,NA
"654","3DD.0077AFF04B",2,2,"Observation",1,"2022-04-18 22:25:35","2022-04-18 22:25:35",0,0.3
"655","3DD.0077B083F6",16,1,"Observation",1,"2022-01-10 17:17:21","2022-01-10 17:17:21",0,NA
"656","3DD.0077BB821A",16,1,"Observation",138,"2022-04-26 18:25:10","2022-04-26 18:25:30",0.333333333333333,NA
"657","3DD.0077BBB051",2,1,"Observation",1,"2022-03-29 09:01:07","2022-03-29 09:01:07",0,NA
"658","3DD.0077BBB051",1,2,"Observation",1,"2022-03-29 09:01:40","2022-03-29 09:01:40",0,0.55
"659","3DD.0077BBB16D",1,1,"Observation",1,"2022-03-17 23:56:16","2022-03-17 23:56:16",0,NA
"660","3DD.0077BBB16D",2,2,"Observation",1,"2022-03-17 23:56:32","2022-03-17 23:56:32",0,0.266666666666667
"661","3DD.0077BBBF2F",18,1,"Observation",2,"2022-04-16 19:14:28","2022-04-16 19:15:27",0.983333333333333,NA
"662","3DD.0077BBDBDC",5,1,"Observation",6,"2022-01-12 21:40:18","2022-03-18 22:59:29",93619.1833333333,NA
"663","3DD.0077BBE9A3",5,1,"Observation",4,"2022-01-30 13:07:00","2022-01-30 13:10:17",3.28333333333333,NA
"664","3DD.0077BBE9A3",2,2,"Observation",1,"2022-03-08 20:48:21","2022-03-08 20:48:21",0,53738.0666666667
"665","3DD.0077BBE9A3",1,3,"Observation",1,"2022-03-08 20:48:45","2022-03-08 20:48:45",0,0.4
